symbol,setup,direction,entry_dt,exit_dt,entry_price,stop_price,tp_price,exit_price,outcome,r_multiple,pnl_pct,balance_after
ETHUSDT,first5,short,2024-09-01T10:06:00-04:00,2024-09-01T10:07:00-04:00,2457.83,2463.581175,2446.32765,2446.32765,TP,2.0,2.0,10200.0
ETHUSDT,gap,short,2024-09-01T10:34:00-04:00,2024-09-01T10:35:00-04:00,2453.32,2455.4571149999997,2449.045770000001,2455.4571149999997,SL,-1.0,-1.0,10098.0
ETHUSDT,gap,long,2024-09-02T10:54:00-04:00,2024-09-02T11:01:00-04:00,2519.39,2514.212265,2529.7454699999994,2514.212265,SL,-1.0,-1.0,9997.02
ETHUSDT,gap,long,2024-09-02T11:17:00-04:00,2024-09-02T11:33:00-04:00,2519.19,2514.5421,2528.4858,2514.5421,SL,-1.0,-1.0,9897.05
ETHUSDT,gap,short,2024-09-04T10:06:00-04:00,2024-09-04T10:09:00-04:00,2399.46,2410.18449,2378.01102,2410.18449,SL,-1.0,-1.0,9798.08
ETHUSDT,gap,long,2024-09-04T10:29:00-04:00,2024-09-04T10:34:00-04:00,2400.31,2395.34173,2410.2465399999996,2410.2465399999996,TP,2.0,2.0,9994.04
ETHUSDT,gap,long,2024-09-05T13:47:00-04:00,2024-09-05T15:08:00-04:00,2389.0,2384.86697,2397.26606,2384.86697,SL,-1.0,-1.0,9894.1
ETHUSDT,gap,long,2024-09-05T15:11:00-04:00,2024-09-05T15:13:00-04:00,2384.0,2382.1083500000004,2387.783299999999,2382.1083500000004,SL,-1.0,-1.0,9795.16
ETHUSDT,gap,long,2024-09-06T09:45:00-04:00,2024-09-06T09:49:00-04:00,2375.18,2367.8254950000005,2389.8890099999985,2367.8254950000005,SL,-1.0,-1.0,9697.21
ETHUSDT,premarket,short,2024-09-06T11:01:00-04:00,2024-09-06T11:08:00-04:00,2331.81,2340.059445,2315.31111,2315.31111,TP,2.0,2.0,9891.15
ETHUSDT,gap,long,2024-09-07T09:48:00-04:00,2024-09-07T09:50:00-04:00,2284.87,2283.1778400000003,2288.254319999999,2288.254319999999,TP,2.0,2.0,10088.97
ETHUSDT,gap,short,2024-09-07T11:09:00-04:00,2024-09-07T11:11:00-04:00,2296.66,2298.698775,2292.58245,2292.58245,TP,2.0,2.0,10290.75
ETHUSDT,gap,long,2024-09-08T10:15:00-04:00,2024-09-08T10:19:00-04:00,2273.37,2270.814025,2278.4819499999994,2270.814025,SL,-1.0,-1.0,10187.84
ETHUSDT,gap,long,2024-09-08T11:05:00-04:00,2024-09-08T11:06:00-04:00,2270.26,2268.055405,2274.6691900000005,2268.055405,SL,-1.0,-1.0,10085.96
ETHUSDT,gap,long,2024-09-09T10:03:00-04:00,2024-09-09T10:04:00-04:00,2318.86,2316.3712350000005,2323.8375299999993,2316.3712350000005,SL,-1.0,-1.0,9985.1
ETHUSDT,premarket,long,2024-09-09T15:39:00-04:00,2024-09-09T15:54:00-04:00,2340.82,2335.8714800000002,2350.71704,2350.71704,TP,2.0,2.0,10184.8
ETHUSDT,premarket,short,2024-09-10T10:50:00-04:00,2024-09-10T11:09:00-04:00,2331.52,2338.12848,2318.3030400000002,2338.12848,SL,-1.0,-1.0,10082.95
ETHUSDT,gap,short,2024-09-10T11:50:00-04:00,2024-09-10T12:19:00-04:00,2329.37,2333.4561449999997,2321.1977100000004,2333.4561449999997,SL,-1.0,-1.0,9982.12
ETHUSDT,first5,short,2024-09-11T11:07:00-04:00,2024-09-11T11:38:00-04:00,2305.8,2319.5592,2278.2816000000003,2319.5592,SL,-1.0,-1.0,9882.3
ETHUSDT,gap,long,2024-09-11T11:58:00-04:00,2024-09-11T12:02:00-04:00,2323.99,2321.2687849999998,2329.43243,2329.43243,TP,2.0,2.0,10079.95
