symbol,strategy,direction,entry_ms,exit_ms,entry_price,stop_price,tp_price,exit_price,qty,outcome,r_multiple,pnl_usdt,balance_before,balance_after
HYPEUSDT,momentum,long,1767021300000,1767036600000,26.077,25.711581775289254,26.807836449421497,25.711581775289254,5.47,SL,-1.0,-2.0,100.0,98.0
HYPEUSDT,momentum,long,1767024000000,1767033000000,26.287,25.899978192532977,27.061043614934043,25.899978192532977,5.06,SL,-1.0,-1.96,98.0,96.04
XRPUSDT,volatility,short,1767033900000,1767075300000,1.8543,1.8635277123708993,1.8358445752582015,1.8635277123708993,208.1,SL,-1.0,-1.92,96.04,94.12
SKYUSDT,volatility,short,1767040200000,1767041100000,0.06144,0.06180726319947225,0.0607054736010555,0.06180726319947225,5120.0,SL,-1.0,-1.88,94.12,92.24
SUIUSDT,volatility,short,1767054600000,1767081600000,1.4321,1.4411001039134124,1.414099792173175,1.4411001039134124,200.0,SL,-1.0,-1.84,92.24,90.4
ADAUSDT,volatility,short,1767060000000,1767081600000,0.3513,0.3537113257226843,0.34647734855463136,0.3537113257226843,749.0,SL,-1.0,-1.81,90.4,88.59
SKYUSDT,momentum,short,1767139200000,1767154500000,0.05942,0.05985774069095685,0.05854451861808631,0.05854451861808631,4040.0,TP,2.0,3.54,88.59,92.13
XRPUSDT,volatility,long,1767143700000,1767150900000,1.8799,1.873177853052569,1.893344293894862,1.873177853052569,274.1,SL,-1.0,-1.84,92.13,90.29
XRPUSDT,volatility,long,1767144600000,1767150000000,1.8812,1.8745937206916712,1.8944125586166576,1.8745937206916712,273.3,SL,-1.0,-1.81,90.29,88.48
WLFIUSDT,volatility,long,1767145500000,1767170700000,0.1448,0.14398419113496913,0.14643161773006177,0.14398419113496913,2169.0,SL,-1.0,-1.77,88.48,86.71
XLMUSDT,momentum,short,1767151800000,1767191400000,0.2089,0.21006192007477162,0.20657615985045677,0.20657615985045677,1492.0,TP,2.0,3.47,86.71,90.18
SKYUSDT,momentum,short,1767154500000,1767170700000,0.05848,0.0590081339623627,0.05742373207527459,0.0590081339623627,3410.0,SL,-1.0,-1.8,90.18,88.38
BNBUSDT,momentum,long,1767159000000,1767189600000,863.6,860.7625558237834,869.2748883524333,869.2748883524333,0.62,TP,2.0,3.54,88.38,91.92
BNBUSDT,momentum,long,1767160800000,1767189600000,864.8,861.7636323174457,870.8727353651084,870.8727353651084,0.6,TP,2.0,3.68,91.92,95.6
ADAUSDT,volatility,short,1767165300000,1767187800000,0.3506,0.35233601528958564,0.3471279694208288,0.3471279694208288,1101.0,TP,2.0,3.82,95.6,99.42
SUIUSDT,volatility,long,1767168000000,1767169800000,1.4493,1.442062494809572,1.4637750103808562,1.442062494809572,270.0,SL,-1.0,-1.99,99.42,97.43
XRPUSDT,volatility,short,1767169800000,1767171600000,1.8661,1.8707671179730774,1.8567657640538455,1.8707671179730774,417.5,SL,-1.0,-1.95,97.43,95.48
WLDUSDT,volatility,short,1767170700000,1767174300000,0.4866,0.4890060788689127,0.4817878422621746,0.4890060788689127,793.6,SL,-1.0,-1.91,95.48,93.57
