symbol,strategy,direction,entry_ms,exit_ms,entry_price,stop_price,tp_price,exit_price,qty,outcome,r_multiple,pnl_usdt,balance_before,balance_after
ASTERUSDT,momentum,short,1774786500000,1774791000000,0.6564,0.6593657873337531,0.6504684253324938,0.6593657873337531,674.0,SL,-1.0,-2.0,100.0,98.0
XRPUSDT,momentum,short,1774789200000,1774821600000,1.3276,1.3340868803639268,1.3146262392721462,1.3146262392721462,302.1,TP,2.0,3.92,98.0,101.92
XRPUSDT,volatility,short,1774811700000,1774815300000,1.3171,1.3225719174583355,1.3061561650833289,1.3225719174583355,372.5,SL,-1.0,-2.04,101.92,99.88
ADAUSDT,volatility,short,1774812600000,1774815300000,0.2398,0.2411275705459272,0.23714485890814563,0.2411275705459272,1504.0,SL,-1.0,-2.0,99.88,97.88
WLFIUSDT,momentum,long,1774815300000,1774823400000,0.09886,0.09811947913062306,0.10034104173875388,0.09811947913062306,2643.0,SL,-1.0,-1.96,97.88,95.92
WLFIUSDT,momentum,long,1774818900000,1774823400000,0.09926,0.09845704194735853,0.10086591610528294,0.09845704194735853,2389.0,SL,-1.0,-1.92,95.92,94.0
DOTUSDT,momentum,long,1774829700000,1774881000000,1.276,1.2580115197379385,1.3119769605241232,1.2580115197379385,104.5,SL,-1.0,-1.88,94.0,92.12
ASTERUSDT,momentum,long,1774843200000,1774851300000,0.668,0.664276098951165,0.6754478020976701,0.664276098951165,494.0,SL,-1.0,-1.84,92.12,90.28
BNBUSDT,volatility,long,1774856700000,1774880100000,618.0,615.2535506589121,623.4928986821758,615.2535506589121,0.65,SL,-1.0,-1.81,90.28,88.47
SKYUSDT,volatility,long,1774916100000,1774920600000,0.07365,0.07313165007742639,0.0746866998451472,0.0746866998451472,3410.0,TP,2.0,3.54,88.47,92.01
SKYUSDT,volatility,long,1774917900000,1774920600000,0.07381,0.07329172889329112,0.07484654221341776,0.07484654221341776,3550.0,TP,2.0,3.68,92.01,95.69
BNBUSDT,momentum,long,1774919700000,1774930500000,615.3,611.6525444732634,622.594911053473,611.6525444732634,0.52,SL,-1.0,-1.91,95.69,93.78
SKYUSDT,momentum,long,1774920600000,1774921500000,0.07521,0.07434251864847453,0.07694496270305093,0.07434251864847453,2160.0,SL,-1.0,-1.88,93.78,91.9
WLFIUSDT,momentum,short,1774940400000,1774965600000,0.09822,0.09888463842918599,0.09689072314162803,0.09888463842918599,2765.0,SL,-1.0,-1.84,91.9,90.06
HYPEUSDT,momentum,short,1774941300000,1774957500000,36.502,36.893958421366946,35.718083157266115,35.718083157266115,4.59,TP,2.0,3.6,90.06,93.66
WLDUSDT,volatility,long,1774944900000,1774946700000,0.2777,0.275335687421397,0.28242862515720596,0.275335687421397,792.2,SL,-1.0,-1.87,93.66,91.79
HYPEUSDT,momentum,short,1774946700000,1774964700000,36.177,36.58725680359052,35.35648639281896,36.58725680359052,4.47,SL,-1.0,-1.84,91.79,89.95
ONDOUSDT,volatility,short,1774947600000,1774962000000,0.2585,0.2606797225881121,0.2541405548237758,0.2606797225881121,825.0,SL,-1.0,-1.8,89.95,88.15
ETCUSDT,momentum,short,1774948500000,1774964700000,8.055,8.118541942985162,7.927916114029674,8.118541942985162,27.7,SL,-1.0,-1.76,88.15,86.39
BNBUSDT,momentum,short,1774950300000,1774954800000,600.0,604.0890332966057,591.8219334067885,604.0890332966057,0.42,SL,-1.0,-1.73,86.39,84.66
SUIUSDT,volatility,long,1774963800000,1774968300000,0.867,0.8605485141854678,0.8799029716290643,0.8605485141854678,260.0,SL,-1.0,-1.69,84.66,82.97
BNBUSDT,volatility,long,1775004300000,1775007000000,618.9,616.2346587694012,624.2306824611975,616.2346587694012,0.62,SL,-1.0,-1.66,82.97,81.31
MORPHOUSDT,momentum,long,1775012400000,1775023200000,1.5572,1.5419964590944357,1.5876070818111283,1.5876070818111283,106.0,TP,2.0,3.25,81.31,84.56
ADAUSDT,momentum,long,1775020500000,1775023200000,0.2473,0.24439972550182748,0.25310054899634504,0.25310054899634504,583.0,TP,2.0,3.38,84.56,87.94
ADAUSDT,momentum,long,1775022300000,1775034000000,0.249,0.24601251841739205,0.2549749631652159,0.24601251841739205,588.0,SL,-1.0,-1.76,87.94,86.18
ADAUSDT,momentum,long,1775023200000,1775030400000,0.2532,0.24959733853043548,0.260405322939129,0.24959733853043548,478.0,SL,-1.0,-1.72,86.18,84.46
WLFIUSDT,momentum,long,1775024100000,1775058300000,0.10031,0.09950559804996882,0.10191880390006235,0.10191880390006235,2099.0,TP,2.0,3.38,84.46,87.84
LINKUSDT,momentum,long,1775025000000,1775034900000,9.095,9.004834164184503,9.275331671630996,9.004834164184503,19.4,SL,-1.0,-1.76,87.84,86.08
MORPHOUSDT,momentum,long,1775036700000,1775041200000,1.6192,1.5986094293014272,1.6603811413971454,1.6603811413971454,83.0,TP,2.0,3.44,86.08,89.52
SKYUSDT,volatility,long,1775044800000,1775061000000,0.07493,0.07444209817696539,0.07590580364606922,0.07590580364606922,3660.0,TP,2.0,3.58,89.52,93.1
BNBUSDT,volatility,long,1775046600000,1775047500000,617.0,614.4928442045731,622.0143115908538,614.4928442045731,0.74,SL,-1.0,-1.86,93.1,91.24
BNBUSDT,momentum,short,1775050200000,1775060100000,611.0,615.1871781435925,602.625643712815,615.1871781435925,0.43,SL,-1.0,-1.82,91.24,89.42
